domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
find.nist.gov,28186,47993,22092,1.7027247569715462,121.78443198751152,22092
geodesy.noaa.gov,28186,91415,3809,3.2432768040871354,139.7304690271766,28186
in.gov,28186,69323,20568,2.459483431490811,196.75778755410488,26663
section508.gov,28186,85320,22092,3.0270346980770597,160.10895480025545,27424
ssaikansascity.usajobs.gov,28186,112745,3809,4.0000354786064,368.2181579507557,28186
whistleblowers.gov,28186,71608,27424,2.540552047115589,137.08181366635918,28186
www2.census.gov,28186,156928,31233,5.567586745192648,349.0558788050805,29710
alaskacenters.gov,27424,52563,26663,1.916678821470245,62.528588098016336,27424
archive.epa.gov,27424,59419,28186,2.166678821470245,65.05641044340723,27424
assignment.uspto.gov,27424,38851,24377,1.416678821470245,185.5302289964994,27424
cz.usembassy.gov,27424,55611,15236,2.0278223453908986,165.58550904317386,28186
idcfoes.bls.gov,27424,345852,13712,12.611289381563594,435.86683197199534,29710
ma.usembassy.gov,27424,85320,19806,3.1111435239206533,154.30757730455076,27424
modernmoney.treasury.gov,27424,60181,24377,2.1944647024504085,83.88998687281213,25901
plainlanguage.gov,27424,52563,25139,1.916678821470245,90.58452450408402,27424
realmail.usps.com,27424,111983,9141,4.083394107351225,41.77833284714119,28186
rhce.amedd.army.mil,27424,47231,19045,1.7222505834305717,132.2517502917153,27424
agcensus.usda.gov,26663,63228,25901,2.3713760642088286,141.34058433034542,26663
by.usembassy.gov,26663,72370,19045,2.714248209128755,206.56812811761617,26663
earthdata.nasa.gov,26663,45707,23615,1.7142482091287552,133.51213291827625,21330
mentalhealth.va.gov,26663,71608,28186,2.6856692795259347,159.36886321869258,28948
bts.gov,25901,44945,20568,1.7352611868267633,131.11655920620825,22854
edgarfiling.sec.gov,25901,215586,5333,8.323462414578588,385.7320952858963,25901
nightsky.jpl.nasa.gov,25901,51802,25139,2.0,32.29384965831435,26663
pepfar.gov,25901,39613,22092,1.5294004092506082,86.96984672406471,25139
www2a.cdc.gov,25901,73132,27424,2.8235203274004865,244.38033280568317,26663
xk.usembassy.gov,25901,62467,16759,2.4117601637002433,194.5866182772866,25901
flra.gov,25139,52563,20568,2.0908946258801064,60.18182903058992,25139
heasarc.gsfc.nasa.gov,25139,38089,23615,1.5151358447034489,62.78785950117348,25139
ladsweb.nascom.nasa.gov,25139,291003,10665,11.575758781176658,764.9392975058673,26663
minorityhealth.hhs.gov,25139,52563,19045,2.0908946258801064,269.1817892517602,25139
nas.nasa.gov,25139,42660,22092,1.6969648752933688,30.242412188233423,25139
search.copyright.gov,25139,56372,21330,2.242412188233422,61.454552687059945,25139
afsc.noaa.gov,24377,56372,19045,2.3125076916765805,160.9076178364852,25901
cops.usdoj.gov,24377,47231,22092,1.9375230750297412,110.8446896664889,24377
data.giss.nasa.gov,24377,44945,19806,1.8437461541617097,115.06350248184765,26663
epas.uspto.gov,24377,520301,12189,21.34393075439964,960.570742913402,27424
kz.usembassy.gov,24377,64752,17521,2.656274356975838,175.53275628666367,22092
pugetsound.va.gov,24377,51802,21330,2.1250358944907086,61.50051277843869,26663
search.pbgc.gov,24377,44945,24377,1.8437461541617097,46.969151249128274,24377
sites.ed.gov,24377,57896,21330,2.3750256389219344,151.2200434836116,20568
treasuryhunt.gov,24377,62467,22854,2.562538458382902,130.8448537555893,24377
youthrules.gov,24377,54849,22092,2.2500307667063217,48.062928169996304,24377
caregiver.va.gov,23615,66276,21330,2.80652127884819,126.06677958924412,27424
faai.usajobs.gov,23615,147025,3809,6.225915731526572,290.81164514080035,23615
feedthefuture.gov,23615,61705,17521,2.612957865763286,168.5513868304044,22854
georgewbushlibrary.smu.edu,23615,29710,22092,1.2580986661020537,13.000211729832733,23615
globalchange.gov,23615,45707,19806,1.9355070929493965,203.90688121956384,23615
landsat.gsfc.nasa.gov,23615,48754,19045,2.06453525301715,56.19453737031548,22092
mcc.gov,23615,98271,19045,4.161380478509422,252.45610840567437,23615
namus.gov,23615,25139,20568,1.0645352530171501,55.58162185051874,23615
reaganlibrary.archives.gov,23615,34280,9903,1.4516197332204108,84.71120050815159,21330
snaped.fns.usda.gov,23615,30472,20568,1.2903662926106287,76.03362269743806,21330
sohowww.nascom.nasa.gov,23615,47993,17521,2.032309972475122,90.42096125344061,22092
uscis.usajobs.gov,23615,95223,16759,4.0323099724751215,144.1961041710777,24377
usda.usajobs.gov,23615,95223,20568,4.0323099724751215,103.06635612957865,23615
volcanoes.usgs.gov,23615,54849,17521,2.322633919119204,144.35739995765402,24377
www-s.nist.gov,23615,99032,21330,4.19360575905145,151.8091467287741,22854
denver.va.gov,22854,36566,17521,1.5999824975934192,89.29854730025379,22854
hab.hrsa.gov,22854,48754,19806,2.1332808261135905,192.99689332283188,25901
lance.modaps.eosdis.nasa.gov,22854,127219,15236,5.566596657040343,261.0291415069572,25139
math.nist.gov,22854,81511,16759,3.566596657040343,134.26450511945393,22854
ovcttac.gov,22854,69323,13712,3.0332983285201713,197.86348122866895,19045
research.archives.gov,22854,26663,21330,1.1666666666666667,59.86571278550801,22092
usahire.opm.gov,22854,802924,11427,35.132755753916165,2373.861906012077,22854
washingtondc.va.gov,22854,42660,18283,1.8666316618535048,169.26393629124004,22854
arc.publicdebt.treas.gov,22092,95223,9141,4.310293318848452,401.755793952562,21330
